Nodos,Vecino(Abajo),Vecino(Arriba),Vecino(Derecha),Vecino(Izquierda),CC,Fuerzas(x),Fuerzas(y),Desplazamientos(x),Desplazamientos(y),Desplazamientos(z),Desplazamientos(rx),Desplazamientos(ry),Desplazamientos(rz)
1,-1,2,-1,32,0,0.0,0.0,1.24562E-04,4.49679E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.54160E-06
2,1,3,-1,54,0,0.0,0.0,1.24695E-04,2.97066E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.53439E-06
3,2,4,-1,56,0,0.0,0.0,1.26015E-04,1.54022E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.45965E-06
4,3,5,-1,41,0,1.1512336488002823,0.0,1.31556E-04,-2.18546E-19,0.00000E+00,0.00000E+00,0.00000E+00,-2.17658E-06
5,4,6,-1,46,0,0.0,0.0,1.26015E-04,-1.54022E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.45965E-06
6,5,7,-1,48,0,0.0,0.0,1.24695E-04,-2.97066E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.53439E-06
7,6,-1,-1,8,0,0.0,0.0,1.24562E-04,-4.49679E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.54160E-06
8,48,-1,7,9,0,0.0,0.0,1.08828E-04,-4.48567E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.57206E-06
9,49,-1,8,10,0,0.0,0.0,9.23766E-05,-4.40964E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.58292E-06
10,43,-1,9,11,0,0.0,0.0,7.58664E-05,-4.21365E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.57045E-06
11,45,-1,10,12,0,0.0,0.0,6.01493E-05,-3.89675E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.46216E-06
12,33,-1,11,13,0,0.0,0.0,4.57243E-05,-3.48540E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.31888E-06
13,69,-1,12,14,0,0.0,0.0,3.28435E-05,-2.98298E-05,0.00000E+00,0.00000E+00,0.00000E+00,-1.15019E-06
14,67,-1,13,15,0,0.0,0.0,2.17744E-05,-2.39165E-05,0.00000E+00,0.00000E+00,0.00000E+00,-9.64355E-07
15,63,-1,14,16,0,0.0,0.0,1.28044E-05,-1.71437E-05,0.00000E+00,0.00000E+00,0.00000E+00,-7.10898E-07
16,65,-1,15,17,0,0.0,0.0,5.99395E-06,-9.51159E-06,0.00000E+00,0.00000E+00,0.00000E+00,-6.45739E-07
17,18,-1,16,-1,1,0.0,0.0,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
